Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Greens,6.0,451.538711383,45715.7933118,Environment,150.512903794,No,303.733382051,Yes,Male,By_16:00,0.328760358971,0.489071540767,7.55085834535,1.2004857813,8.90138173942,1.02133323206,8629.0,12.6652680803,501.730692984,4040.79520648,60358.0760553,No,92253.9673722,22.399345816,249.858936279,26.5723842196,22814.6471124,90.0,Below_30,3.0,809.238638449,14.0,Public_or_other,Services_or_Retail,654.615353115,2.0,Yes
Yellows,1.0,1170.26163279,94131.7234651,Financial,390.087210931,Yes,241.309432423,Yes,Female,After_16:00,0.947915225988,0.357944295742,8.37514620274,8.31872437615,0.454763509333,2.96228297753,4726.0,59.004002111,341.16403286,3095.42238995,48990.6910904,Yes,58230.2421762,18.4706262173,402.966219833,81.2150184764,152568.119343,60.0,Below_30,1.0,713.68527087,12.0,Foot_or_bicycle,Public_Sector,765.013396107,0.0,No
Whites,2.0,614.285582026,106274.473955,Healthcare,204.761860675,,519.014984551,No,Male,By_16:00,0.309613706777,0.84593879967,1.82837609435,6.71823048033,0.151649105828,,3775.0,1.99420577846,391.351096913,5972.85203934,49813.1237686,No,269376.554188,19.7825958083,135.703827052,4.22965383623,42142.1814479,80.0,45_and_up,4.0,614.590991723,9.0,Car,Hightech,420.947012092,0.0,Yes
Blues,1.0,1227.22721377,274426.692558,Financial,409.075737924,Yes,670.845682392,No,Male,After_16:00,0.759473910788,0.976320525631,8.57911146712,9.47189270519,5.59850556077,1.20700857602,5227.0,12.8662114032,20.1636416103,6748.78410714,13504.4468125,Yes,450033.929585,4.49039437135,699.075445733,56.8861207925,167762.035096,60.0,30-45,4.0,95.8183431445,10.0,Public_or_other,Public_Sector,21.172994912,0.0,No
Reds,10.0,276.451414876,45424.5310278,Foreign_Affairs,92.1504716254,No,492.938671139,Yes,Female,After_16:00,0.429012485547,0.989069471834,8.9102765522,2.80324345687,2.82375159673,3.64316864405,6162.0,33.5541414097,388.594894574,5706.57650053,51337.6927993,Maybe,242988.533504,19.7128104179,,19.632045622,8593.85989241,40.0,Below_30,2.0,657.075877102,9.0,Motorcycle_or_truck,Industry_or_other,516.093209743,1.0,Yes
Blues,4.0,1207.18350408,272439.333084,Social,402.394501359,Yes,677.045367579,No,Male,By_16:00,0.381506169681,0.565979184117,1.05451664655,7.63442034833,7.60862945113,6.9024158502,8104.0,14.577881759,637.285480322,8045.02463644,67737.2524102,Yes,458390.429761,25.2445138658,352.365100393,23.8230510382,162333.729225,70.0,30-45,3.0,755.275441561,10.0,Car,Services_or_Retail,228.027945026,0.0,No
Purples,4.0,178.057544682,27550.2667923,Social,59.3525148941,No,464.1802768,Yes,Female,After_16:00,0.440468660323,0.259613543283,7.35120979836,9.98185156146,5.01559815602,8.62065177178,7393.0,43.6944719171,405.919746546,5453.6422611,52576.8648552,No,215463.329371,20.1474501252,105.323531787,50.2872462617,3592.07353915,70.0,Below_30,4.0,677.228852308,11.0,Foot_or_bicycle,Industry_or_other,530.966105473,1.0,No
Whites,3.0,525.940172447,91859.0333574,Healthcare,175.313390816,No,523.970433348,No,Male,After_16:00,0.0435671072919,0.180340043036,,2.32208856381,7.94825602788,5.41331229731,7884.0,60.3855564957,471.359460923,6182.42325532,58610.4714375,No,274545.015023,21.7108143772,43.0880909949,30.6676198728,30920.0983901,80.0,45_and_up,2.0,737.364410268,8.0,Public_or_other,Hightech,521.487704206,0.0,Yes
Browns,3.0,214.074864097,23683.6396405,Education,71.3582880324,No,331.897531367,Yes,Female,By_16:00,0.553258786444,0.463519619545,6.35040648514,8.7228951999,7.12881769286,6.85451615136,3682.0,69.3764125463,373.40174672,4065.77880711,44421.2412171,No,110155.971327,19.3236059451,238.740872143,86.6128929891,5173.36355894,100.0,30-45,3.0,,9.0,Motorcycle_or_truck,Services_or_Retail,387.254062878,1.0,No
Blues,4.0,1175.69447145,130452.639377,Environment,391.898157151,Yes,332.873827031,Yes,Male,By_16:00,0.126689681318,0.724229651969,1.78059732076,4.85435753362,5.67592092557,8.16601087339,8320.0,75.4471138585,590.871103387,4510.48047708,58905.5974019,Yes,110804.984722,24.3078403686,306.349819288,60.9788514674,153986.063736,90.0,Below_30,2.0,695.007333824,14.0,Public_or_other,Services_or_Retail,259.871916145,3.0,Yes
