,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_household_cost,Phone_minutes_10_years,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,Will_vote_only_large_party_int,Financial_agenda_matters_int,Looking_at_poles_results_int,Married_int,Gender_int,Most_Important_Issue_0,Most_Important_Issue_1,Most_Important_Issue_2,Most_Important_Issue_3,Most_Important_Issue_4,Most_Important_Issue_5,Most_Important_Issue_6,Most_Important_Issue_7,Voting_Time_0,Voting_Time_1,Age_group_0,Age_group_1,Age_group_2,Main_transportation_0,Main_transportation_1,Main_transportation_2,Main_transportation_3,Occupation_0,Occupation_1,Occupation_2,Occupation_3,Occupation_4
8743,Purples,0.9,-0.0336100029996,-0.107372379064,-0.0326355915962,-0.28632459285,0.0135887821671,0.183332234388,0.404439498903,0.208602545783,0.0995211498812,0.499440149171,0.513073296185,0.716500529088,-0.328733928182,-0.343300894947,-0.396298813676,-0.39518077489,0.0935182664543,-0.265010236039,0.7,-0.804090007539,-0.291762523085,0.721694114033,-0.0386166601,-0.628485664842,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
4392,Greens,0.8,-0.68245735675,-0.673442636561,-0.681380848132,-0.825131396929,0.441811562749,0.506158659933,0.322896183003,0.189451166661,0.969661748502,0.119599062949,0.822260322903,0.318901942344,0.540199955885,0.663626217054,-0.792024016551,0.532027716666,0.272172668949,-0.526697244689,0.7,-0.804090007539,1.02017376583,0.359325107188,1.55021451787,-0.628485664842,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
8917,Greens,0.5,-0.877894352927,-0.783344123788,-0.876787091971,-0.712815161602,0.036542261485,0.598069779575,0.761778352316,0.160326432437,0.783587125596,0.686983072432,0.202457493928,0.314389819279,1.05634640789,1.03703897483,-0.716668560813,0.277845109598,0.96798048215,-0.564912085189,0.9,-0.804090007539,1.28314902662,0.721694114033,1.25739563078,2.27623933058,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
4889,Browns,0.6,-0.560064659602,-0.344005471421,-0.559007409679,0.670286676894,0.748042465886,0.677340085153,0.173231904395,0.944064282114,0.732662966708,0.395354380831,0.605943706244,0.0929767561611,0.202817651851,0.216633651207,0.519357511456,-1.30961239079,0.644641770283,-0.493191992601,0.7,2.41548960223,0.0461167464676,-1.09015092019,-0.388303659118,-0.628485664842,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
3933,Pinks,0.2,0.263047972159,0.0834301971945,0.263975703935,-0.372562630852,0.909733149922,0.519681287929,0.110207724851,0.756615635939,0.262667021714,0.512423861772,0.952564652093,0.720551712671,0.346401475738,0.104556422368,-0.465449362906,-0.474046784545,0.469614035916,-0.0763369680452,1.0,-0.804090007539,0.0476991637304,0.359325107188,-0.377326017223,0.339756000298,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
6964,Blues,0.1,1.36595607573,-0.302896301927,1.36671026308,-2.07062112321,0.247445621761,0.449211948551,0.812840339728,0.441790345125,0.920772016281,0.644737391733,-0.0495785112159,0.803037846461,-3.36089964963,-3.55003029737,-1.37575906387,3.4135223393,0.142114630202,1.00498055911,0.7,-0.804090007539,-3.28821374676,1.08406312088,-1.25050183521,0.339756000298,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1
2159,Whites,0.6,0.866942901255,0.178861017735,0.867775609155,-0.987814863777,0.115523009794,0.610224205069,0.321333053056,0.762892928207,0.883959589526,0.499478992075,-0.410772967567,0.411628355039,-1.4888111659,-1.41260592017,-0.894508325408,0.987045297429,0.919438306009,0.441574596244,0.9,-1.60898490998,-1.15719559661,-0.365412906503,0.120317480666,0.339756000298,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1
8349,Browns,0.2,-0.302882247373,-0.402467925043,-0.301865465532,-0.661366142492,0.727018518839,0.874735481571,0.173848788952,0.945259764791,0.900313270744,0.446150647243,-0.610801543078,0.265287284274,-0.737360698722,-1.01678304012,-0.680895297523,0.505281528679,0.05470565008,-0.39876384932,1.0,0.000804894902441,-1.07936077279,-0.0030438996575,-1.01501722852,-0.628485664842,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1
1436,Greens,0.4,-0.515929008313,-0.596229082445,-0.514878703209,-0.958149511289,0.94244160736,0.662598492345,0.484369260492,0.221754255006,0.464456660906,0.547238092637,-0.333047578225,0.943988569314,0.245179631744,0.363870099686,-0.876408052494,0.618573500737,0.0740911625326,-0.479300999831,1.0,0.805699797343,0.738484143857,2.17117014141,1.44454268001,-0.628485664842,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1
6254,Greens,0.8,0.0540185609128,-0.335369955107,0.0549791838154,-1.15036476877,0.247520907084,0.285423420602,0.444188012742,0.570188561687,0.523972218856,0.274325934239,-0.637948278325,0.245625720359,0.563798949277,0.516966608148,-0.989034090407,0.662799638159,0.913643020671,-0.213786557784,0.6,1.61059469978,0.83996356755,-0.0030438996575,1.19074397992,-0.628485664842,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
