,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
8743,Purples,9.0,492.464804047,59823.8797344,Social,164.154934682,No,364.435463668,Yes,Male,By_16:00,0.0135887821671,0.183332234388,4.04439498903,2.08602545783,0.995211498812,4.99440149171,8295.0,71.6500529088,403.558020318,4451.47067732,49652.6499221,No,132813.207179,20.088753578,166.97730771,9.35182664543,27120.9975153,70.0,30-45,1.0,642.528491051,12.0,Car,Industry_or_other,485.765452796,0.0,No
4392,Greens,8.0,212.261472063,20705.1185037,Social,70.7538240209,No,292.636034733,Yes,Male,By_16:00,0.441811562749,0.506158659933,3.22896183003,1.89451166661,9.69661748502,1.19599062949,9377.0,31.8901942344,494.11451226,3914.58937185,59862.4281747,No,85635.8488243,22.2286866967,266.791117128,27.2172668949,5086.8574376,70.0,30-45,1.0,807.846112409,11.0,Motorcycle_or_truck,Student_or_Unemployed,667.758895803,0.0,No
8917,Greens,5.0,127.862426269,13110.2837976,Financial,42.6208087565,No,307.602886479,Yes,Male,By_16:00,0.036542261485,0.598069779575,7.61778352316,1.60326432437,7.83587125596,6.86983072432,7208.0,31.4389819279,547.905039801,4171.8389444,63648.6619628,No,94619.5357705,23.4073714842,239.42841011,96.798048215,1869.15414781,,45_and_up,1.0,840.983731177,12.0,Car,Services_or_Retail,634.217813416,3.0,Yes
4889,Browns,,265.11649467,43471.1508697,Social,88.3721648901,No,491.909991384,Yes,Male,After_16:00,0.748042465886,0.677340085153,1.73231904395,9.44064282114,7.32662966708,3.95354380831,8620.0,9.29767561611,458.954002977,5837.0079198,55330.1289413,No,241975.439624,21.4232117802,68.538926411,64.4641770283,7908.01169226,70.0,45_and_up,5.0,685.1047942,7.0,Public_or_other,Services_or_Retail,445.710384763,,No
3933,Pinks,2.0,620.575911566,73009.4522389,Education,206.858637189,No,352.943697354,Yes,Female,By_16:00,0.909733149922,0.519681287929,1.10207724851,7.56615635939,2.62667021714,5.12423861772,9833.0,72.0551712671,473.917681606,4477.27233675,54193.7173381,No,124569.253502,21.7696504705,158.48739748,46.9614035916,43007.3544167,100.0,30-45,1.0,685.304195238,11.0,Public_or_other,Public_Sector,446.967824113,1.0,No
6964,Blues,1.0,1096.86440023,46312.034602,Social,365.621466745,Yes,126.666617839,Yes,Male,After_16:00,0.247445621761,0.449211948551,8.12840339728,4.41790345125,9.20772016281,6.44737391733,6326.0,80.3037846461,87.5589601412,1441.78409867,17137.8872102,Yes,16044.4320748,9.35729448832,576.983439267,14.2114630202,134054.678411,70.0,Below_30,1.0,264.944462773,13.0,Public_or_other,Hightech,346.949473724,1.0,Yes
2159,Whites,6.0,881.366635799,79604.2793533,Environment,293.7888786,No,270.957429473,Yes,Male,After_16:00,0.115523009794,0.610224205069,3.21333053056,7.62892928207,8.83959589526,4.99478992075,5062.0,41.1628355039,282.659840427,3274.89397559,38810.3882908,No,73417.9285869,16.8124906075,315.773669059,91.9438306009,86615.6940674,90.0,30-45,0.0,533.474920106,9.0,Motorcycle_or_truck,Industry_or_other,503.970641547,1.0,No
8349,Browns,2.0,376.180165375,39431.0538431,Education,125.393388458,No,314.45879506,Yes,Female,By_16:00,0.727018518839,0.874735481571,1.73848788952,9.45259764791,9.00313270744,4.46150647243,4362.0,26.5287284274,360.972724092,3866.53339878,42823.8504217,No,98884.3337906,18.9992821994,263.911895319,5.470565008,15858.8952575,100.0,30-45,2.0,543.282917674,10.0,Foot_or_bicycle,Hightech,373.92317297,0.0,No
1436,Greens,4.0,284.176380603,26041.0261004,Education,94.7254602011,No,274.910526115,Yes,Female,By_16:00,0.94244160736,0.662598492345,4.84369260492,2.21754255006,4.64456660906,5.47238092637,5334.0,94.3988569314,463.36878339,3675.84282793,56823.0388766,No,75575.797369,21.5260024944,276.107753543,7.40911625326,9077.63827051,100.0,Below_30,3.0,772.350289434,16.0,Car,Hightech,655.654663543,0.0,No
6254,Greens,8.0,530.307010605,44067.9154874,Financial,176.769003535,No,249.29662218,Yes,Male,After_16:00,0.247520907084,0.285423420602,4.44188012742,5.70188561687,5.23972218856,2.74325934239,4267.0,24.5625720359,496.573896218,3486.11401423,58375.3671276,No,62148.8058303,22.283938077,280.868688427,91.3643020671,31434.0496143,60.0,45_and_up,4.0,785.137752578,10.0,Public_or_other,Student_or_Unemployed,626.583167527,0.0,No
